iter=0,err=0.595781
iter=10,err=0.556614
iter=20,err=0.507894
iter=30,err=0.468774
iter=40,err=0.420935
iter=50,err=0.378061
iter=60,err=0.343778
iter=70,err=0.321124
iter=80,err=0.298117
iter=90,err=0.282164
iter=100,err=0.269059
iter=110,err=0.253289
iter=120,err=0.241821
iter=130,err=0.219776
iter=140,err=0.197487
iter=150,err=0.176678
iter=160,err=0.160627
iter=170,err=0.145264
iter=180,err=0.129293
iter=190,err=0.111826
iter=200,err=0.101052
iter=210,err=0.094491
iter=220,err=0.084763
iter=230,err=0.073453
iter=240,err=0.065499
iter=250,err=0.056920
iter=260,err=0.050483
iter=270,err=0.040464
iter=280,err=0.030717
iter=290,err=0.023981
iter=300,err=0.021829
iter=310,err=0.017534
iter=320,err=0.014145
iter=330,err=0.012093
iter=340,err=0.012474
iter=350,err=0.017521
iter=360,err=0.018383
iter=370,err=0.016009
iter=380,err=0.012535
iter=390,err=0.010582
iter=400,err=0.010532
iter=410,err=0.010308
iter=420,err=0.008102
iter=430,err=0.006432
iter=440,err=0.004355
iter=450,err=0.003786
iter=460,err=0.003988
iter=470,err=0.003448
iter=480,err=0.002746
iter=490,err=0.002419
iter=500,err=0.002239
iter=510,err=0.001664
iter=520,err=0.000999
iter=530,err=0.000751
iter=540,err=0.000788
iter=550,err=0.001793
iter=560,err=0.002288
iter=570,err=0.001791
iter=580,err=0.001176
iter=590,err=0.001108
iter=600,err=0.000976
iter=610,err=0.000887
iter=620,err=0.003886
iter=630,err=0.008448
iter=640,err=0.009349
iter=650,err=0.008801
iter=660,err=0.006604
iter=670,err=0.004034
iter=680,err=0.003812
iter=690,err=0.003774
iter=700,err=0.003389
iter=710,err=0.002672
iter=720,err=0.001349
iter=730,err=0.001003
iter=740,err=0.000758
iter=750,err=0.000636
iter=760,err=0.000547
iter=770,err=0.000352
iter=780,err=0.000749
iter=790,err=0.001551
iter=800,err=0.001178
iter=810,err=0.001170
iter=820,err=0.001913
iter=830,err=0.001479
iter=840,err=0.000930
iter=850,err=0.000588
iter=860,err=0.000402
iter=870,err=0.000208
iter=880,err=0.000169
iter=890,err=0.000126
iter=900,err=0.000089
iter=910,err=0.000053
iter=920,err=0.000042
iter=930,err=0.000042
iter=940,err=0.000037
iter=950,err=0.000042
iter=960,err=0.000041
iter=970,err=0.000035
iter=980,err=0.000027
iter=990,err=0.000029
iter=1000,err=0.000031
iter=1010,err=0.000026
iter=1020,err=0.000022
iter=1030,err=0.000019
iter=1040,err=0.000016
iter=1050,err=0.000015
iter=1060,err=0.000013
iter=1070,err=0.000013
iter=1080,err=0.000011
iter=1090,err=0.000010
iter=1100,err=0.000009
iter=1110,err=0.000009
iter=1120,err=0.000007
iter=1130,err=0.000006
iter=1140,err=0.000013
iter=1150,err=0.000045
iter=1160,err=0.000041
iter=1170,err=0.000033
iter=1180,err=0.000023
iter=1190,err=0.000013
iter=1200,err=0.000010
iter=1210,err=0.000008
iter=1220,err=0.000007
iter=1230,err=0.000006
iter=1240,err=0.000008
iter=1250,err=0.000007
iter=1260,err=0.000005
iter=1270,err=0.000004
iter=1280,err=0.000004
iter=1290,err=0.000004
iter=1300,err=0.000004
iter=1310,err=0.000003
iter=1320,err=0.000003
iter=1330,err=0.000003
iter=1340,err=0.000003
iter=1350,err=0.000002
iter=1360,err=0.000002
iter=1370,err=0.000002
iter=1380,err=0.000002
iter=1390,err=0.000011
iter=1400,err=0.000013
iter=1410,err=0.000011
iter=1420,err=0.000011
iter=1430,err=0.000010
iter=1440,err=0.000008
iter=1450,err=0.000005
iter=1460,err=0.000004
iter=1470,err=0.000003
iter=1480,err=0.000002
iter=1490,err=0.000002
iter=1500,err=0.000002
iter=1510,err=0.000002
iter=1520,err=0.000002
iter=1530,err=0.000002
iter=1540,err=0.000002
iter=1550,err=0.000002
iter=1560,err=0.000001
iter=1570,err=0.000001
iter=1580,err=0.000001
iter=1590,err=0.000001
iter=1600,err=0.000001
iter=1610,err=0.000001
iter=1620,err=0.000001
iter=1630,err=0.000001
iter=1640,err=0.000001
iter=1650,err=0.000001
iter=1660,err=0.000001
iter=1670,err=0.000001
iter=1680,err=0.000001
iter=1690,err=0.000001
iter=1700,err=0.000001
iter=1710,err=0.000001
iter=1720,err=0.000001
iter=1730,err=0.000003
iter=1740,err=0.000006
iter=1750,err=0.000006
iter=1760,err=0.000004
iter=1770,err=0.000002
iter=1780,err=0.000001
iter=1790,err=0.000001
iter=1800,err=0.000001
iter=1810,err=0.000001
iter=1820,err=0.000001
iter=1830,err=0.000001
iter=1840,err=0.000001
iter=1850,err=0.000001
iter=1860,err=0.000000
iter=1870,err=0.000000
iter=1880,err=0.000000
iter=1890,err=0.000000
iter=1900,err=0.000000
iter=1910,err=0.000000
iter=1920,err=0.000000
iter=1930,err=0.000000
iter=1940,err=0.000000
iter=1950,err=0.000000
iter=1960,err=0.000000
iter=1970,err=0.000001
iter=1980,err=0.000004
iter=1990,err=0.000004
iter=2000,err=0.000003
iter=2010,err=0.000002
iter=2020,err=0.000002
iter=2030,err=0.000001
iter=2040,err=0.000001
iter=2050,err=0.000001
iter=2060,err=0.000001
iter=2070,err=0.000001
iter=2080,err=0.000001
iter=2090,err=0.000001
iter=2100,err=0.000001
iter=2110,err=0.000001
iter=2120,err=0.000000
iter=2130,err=0.000000
iter=2140,err=0.000000
iter=2150,err=0.000000
iter=2160,err=0.000000
iter=2170,err=0.000000
iter=2180,err=0.000000
iter=2190,err=0.000000
iter=2200,err=0.000000
iter=2210,err=0.000000
iter=2220,err=0.000000
iter=2230,err=0.000000
iter=2240,err=0.000002
iter=2250,err=0.000002
iter=2260,err=0.000002
iter=2270,err=0.000001
iter=2280,err=0.000001
iter=2290,err=0.000001
iter=2300,err=0.000001
iter=2310,err=0.000000
iter=2320,err=0.000000
iter=2330,err=0.000000
iter=2340,err=0.000021
iter=2350,err=0.000127
iter=2360,err=0.000134
iter=2370,err=0.000121
iter=2380,err=0.000183
iter=2390,err=0.000189
iter=2400,err=0.000156
iter=2410,err=0.000132
iter=2420,err=0.000111
iter=2430,err=0.000096
iter=2440,err=0.000083
iter=2450,err=0.000069
iter=2460,err=0.000055
iter=2470,err=0.000044
iter=2480,err=0.000035
iter=2490,err=0.000030
iter=2500,err=0.000023
iter=2510,err=0.000019
iter=2520,err=0.000018
iter=2530,err=0.000014
iter=2540,err=0.000011
iter=2550,err=0.000010
iter=2560,err=0.000008
iter=2570,err=0.000007
iter=2580,err=0.000006
iter=2590,err=0.000006
iter=2600,err=0.000006
iter=2610,err=0.000005
iter=2620,err=0.000005
iter=2630,err=0.000005
iter=2640,err=0.000004
iter=2650,err=0.000004
iter=2660,err=0.000004
iter=2670,err=0.000004
iter=2680,err=0.000004
iter=2690,err=0.000003
iter=2700,err=0.000003
iter=2710,err=0.000003
iter=2720,err=0.000003
iter=2730,err=0.000003
iter=2740,err=0.000003
iter=2750,err=0.000002
iter=2760,err=0.000002
iter=2770,err=0.000002
iter=2780,err=0.000002
iter=2790,err=0.000002
iter=2800,err=0.000002
iter=2810,err=0.000023
iter=2820,err=0.000391
iter=2830,err=0.000651
iter=2840,err=0.001072
iter=2850,err=0.001040
iter=2860,err=0.000793
iter=2870,err=0.000651
iter=2880,err=0.000543
iter=2890,err=0.000423
iter=2900,err=0.000322
iter=2910,err=0.000251
iter=2920,err=0.000188
iter=2930,err=0.000147
iter=2940,err=0.000118
iter=2950,err=0.000116
iter=2960,err=0.000167
iter=2970,err=0.000148
iter=2980,err=0.000121
iter=2990,err=0.000101
iter=3000,err=0.000083
iter=3010,err=0.000069
iter=3020,err=0.000055
iter=3030,err=0.000041
iter=3040,err=0.000035
iter=3050,err=0.000030
iter=3060,err=0.000026
iter=3070,err=0.000022
iter=3080,err=0.000020
iter=3090,err=0.000019
iter=3100,err=0.000020
iter=3110,err=0.000019
iter=3120,err=0.000017
iter=3130,err=0.000016
iter=3140,err=0.000014
iter=3150,err=0.000013
iter=3160,err=0.000012
iter=3170,err=0.000011
iter=3180,err=0.000010
iter=3190,err=0.000009
iter=3200,err=0.000009
iter=3210,err=0.000008
iter=3220,err=0.000007
iter=3230,err=0.000007
iter=3240,err=0.000007
iter=3250,err=0.000007
iter=3260,err=0.000006
iter=3270,err=0.000006
iter=3280,err=0.000006
iter=3290,err=0.000006
iter=3300,err=0.000006
iter=3310,err=0.000005
iter=3320,err=0.000005
iter=3330,err=0.000005
iter=3340,err=0.000005
iter=3350,err=0.000004
iter=3360,err=0.000004
iter=3370,err=0.000004
iter=3380,err=0.000004
iter=3390,err=0.000004
iter=3400,err=0.000004
iter=3410,err=0.000004
iter=3420,err=0.000017
iter=3430,err=0.000026
iter=3440,err=0.000026
iter=3450,err=0.000024
iter=3460,err=0.000024
iter=3470,err=0.000026
iter=3480,err=0.000024
iter=3490,err=0.000021
iter=3500,err=0.000019
iter=3510,err=0.000017
iter=3520,err=0.000015
iter=3530,err=0.000014
iter=3540,err=0.000014
iter=3550,err=0.000012
iter=3560,err=0.000011
iter=3570,err=0.000009
iter=3580,err=0.000008
iter=3590,err=0.000007
iter=3600,err=0.000007
iter=3610,err=0.000006
iter=3620,err=0.000006
iter=3630,err=0.000006
iter=3640,err=0.000006
iter=3650,err=0.000005
iter=3660,err=0.000005
iter=3670,err=0.000005
iter=3680,err=0.000004
iter=3690,err=0.000004
iter=3700,err=0.000004
iter=3710,err=0.000004
iter=3720,err=0.000004
iter=3730,err=0.000004
iter=3740,err=0.000004
iter=3750,err=0.000004
iter=3760,err=0.000004
iter=3770,err=0.000003
iter=3780,err=0.000003
iter=3790,err=0.000003
iter=3800,err=0.000003
iter=3810,err=0.000003
iter=3820,err=0.000003
iter=3830,err=0.000003
iter=3840,err=0.000003
iter=3850,err=0.000003
